queryID & t0 & t1 & t2 & t3 & t4 & t5 & t6 & t7 & t8 & t9 & t10 \\ \hline 
58 & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% \\ \hline 
59 & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0\% & 0.31\% & 0.31\% \\ \hline 
60 & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% \\ \hline 
61 & 0.92\% & 0.92\% & 0\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% \\ \hline 
62 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0\% \\ \hline 
63 & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 0\% & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 0\% \\ \hline 
64 & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 0\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% \\ \hline 
65 & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0\% & 0.92\% \\ \hline 
66 & 0\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
67 & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
68 & 5.83\% & 0\% & 5.83\% & 5.83\% & 5.83\% & 5.83\% & 5.83\% & 0\% & 5.83\% & 5.83\% & 5.83\% \\ \hline 
69 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0\% & 0.61\% \\ \hline 
70 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
71 & 4.91\% & 4.91\% & 4.91\% & 4.91\% & 4.91\% & 4.91\% & 4.91\% & 4.91\% & 4.91\% & 4.91\% & 4.91\% \\ \hline 
72 & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0\% \\ \hline 
73 & 0\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0\% \\ \hline 
74 & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
75 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
76 & 7.67\% & 0\% & 7.67\% & 7.67\% & 7.67\% & 0\% & 7.67\% & 7.67\% & 7.67\% & 7.67\% & 7.67\% \\ \hline 
77 & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
78 & 1.38\% & 0\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 0\% & 1.38\% & 0\% & 1.38\% \\ \hline 
79 & 2.46\% & 0\% & 2.46\% & 0\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 0\% & 2.46\% & 0\% \\ \hline 
80 & 0.61\% & 0\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
81 & 0.92\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% \\ \hline 
82 & 0\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 0\% \\ \hline 
83 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0\% & 0.61\% \\ \hline 
84 & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 2.15\% & 2.15\% \\ \hline 
85 & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% \\ \hline 
86 & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% \\ \hline 
87 & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
88 & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% \\ \hline 
89 & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% \\ \hline 
90 & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
91 & 0\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
92 & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% \\ \hline 
93 & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% \\ \hline 
94 & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
95 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% \\ \hline 
96 & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
97 & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% \\ \hline 
98 & 0\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% \\ \hline 
99 & 0\% & 3.07\% & 3.07\% & 3.07\% & 3.07\% & 3.07\% & 0\% & 3.07\% & 3.07\% & 3.07\% & 0\% \\ \hline 
100 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% \\ \hline 
101 & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0\% & 0.92\% & 0.92\% \\ \hline 
102 & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
103 & 0.61\% & 0\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
