32 & 1.41\% & 1.29\% & 1.23\% & 1.30\% & 1.43\% & 1.43\% & 1.48\% & 1.37\% & 1.51\% & 1.66\% & 1.53\%\\ \hline 
33 & 0.26\% & 0.25\% & 0.27\% & 0.28\% & 0.29\% & 0.29\% & 0.27\% & 0.24\% & 0.22\% & 0.21\% & 0.22\%\\ \hline 
34 & 0.51\% & 0.46\% & 0.44\% & 0.45\% & 0.42\% & 0.44\% & 0.48\% & 0.45\% & 0.41\% & 0.43\% & 0.46\%\\ \hline 
35 & 0.51\% & 0.54\% & 0.56\% & 0.61\% & 0.64\% & 0.58\% & 0.63\% & 0.60\% & 0.63\% & 0.67\% & 0.70\%\\ \hline 
36 & 0.77\% & 0.78\% & 0.74\% & 0.69\% & 0.64\% & 0.69\% & 0.72\% & 0.71\% & 0.71\% & 0.69\% & 0.63\%\\ \hline 
37 & 0.51\% & 0.52\% & 0.53\% & 0.55\% & 0.53\% & 0.51\% & 0.49\% & 0.48\% & 0.48\% & 0.52\% & 0.56\%\\ \hline 
38 & 0.77\% & 0.79\% & 0.73\% & 0.77\% & 0.82\% & 0.81\% & 0.88\% & 0.90\% & 0.91\% & 0.82\% & 0.82\%\\ \hline 
39 & 0.51\% & 0.55\% & 0.60\% & 0.62\% & 0.60\% & 0.54\% & 0.50\% & 0.53\% & 0.48\% & 0.45\% & 0.44\%\\ \hline 
40 & 0.51\% & 0.54\% & 0.58\% & 0.61\% & 0.55\% & 0.60\% & 0.66\% & 0.72\% & 0.78\% & 0.79\% & 0.80\%\\ \hline 
41 & 0.77\% & 0.77\% & 0.77\% & 0.77\% & 0.84\% & 0.90\% & 0.97\% & 1.02\% & 1.07\% & 0.98\% & 0.89\%\\ \hline 
42 & 1.02\% & 1.09\% & 1.15\% & 1.05\% & 1.04\% & 1.08\% & 1.10\% & 1.21\% & 1.27\% & 1.23\% & 1.18\%\\ \hline 
43 & 1.02\% & 1.03\% & 1.02\% & 1.05\% & 1.12\% & 1.01\% & 1.09\% & 1.02\% & 1.05\% & 1.01\% & 0.95\%\\ \hline 
44 & 0.51\% & 0.49\% & 0.47\% & 0.45\% & 0.44\% & 0.43\% & 0.43\% & 0.43\% & 0.41\% & 0.38\% & 0.36\%\\ \hline 
45 & 0.13\% & 0.12\% & 0.12\% & 0.13\% & 0.12\% & 0.11\% & 0.11\% & 0.12\% & 0.12\% & 0.12\% & 0.11\%\\ \hline 
46 & 0.26\% & 0.25\% & 0.23\% & 0.22\% & 0.24\% & 0.23\% & 0.24\% & 0.23\% & 0.23\% & 0.23\% & 0.25\%\\ \hline 
47 & 0.26\% & 0.27\% & 0.25\% & 0.26\% & 0.24\% & 0.25\% & 0.24\% & 0.25\% & 0.26\% & 0.28\% & 0.26\%\\ \hline 
48 & 0.51\% & 0.50\% & 0.45\% & 0.50\% & 0.47\% & 0.44\% & 0.48\% & 0.52\% & 0.57\% & 0.60\% & 0.61\%\\ \hline 
49 & 0.51\% & 0.53\% & 0.56\% & 0.56\% & 0.58\% & 0.56\% & 0.55\% & 0.49\% & 0.46\% & 0.47\% & 0.49\%\\ \hline 
50 & 0.51\% & 0.46\% & 0.49\% & 0.49\% & 0.49\% & 0.45\% & 0.49\% & 0.49\% & 0.53\% & 0.57\% & 0.57\%\\ \hline 
51 & 1.15\% & 1.13\% & 1.05\% & 1.09\% & 1.07\% & 1.15\% & 1.20\% & 1.13\% & 1.12\% & 1.12\% & 1.10\%\\ \hline 
52 & 0.51\% & 0.47\% & 0.46\% & 0.47\% & 0.47\% & 0.49\% & 0.54\% & 0.50\% & 0.46\% & 0.45\% & 0.47\%\\ \hline 
53 & 0.77\% & 0.69\% & 0.65\% & 0.67\% & 0.62\% & 0.64\% & 0.69\% & 0.65\% & 0.59\% & 0.61\% & 0.65\%\\ \hline 
54 & 0.51\% & 0.54\% & 0.54\% & 0.50\% & 0.51\% & 0.49\% & 0.44\% & 0.46\% & 0.44\% & 0.40\% & 0.44\%\\ \hline 
55 & 1.41\% & 1.52\% & 1.41\% & 1.31\% & 1.22\% & 1.12\% & 1.10\% & 1.06\% & 1.13\% & 1.05\% & 1.07\%\\ \hline 
56 & 0.26\% & 0.25\% & 0.25\% & 0.23\% & 0.22\% & 0.20\% & 0.19\% & 0.20\% & 0.19\% & 0.19\% & 0.19\%\\ \hline 
57 & 0.26\% & 0.24\% & 0.25\% & 0.26\% & 0.25\% & 0.22\% & 0.23\% & 0.23\% & 0.22\% & 0.21\% & 0.19\%\\ \hline 
58 & 0.77\% & 0.71\% & 0.64\% & 0.60\% & 0.66\% & 0.61\% & 0.56\% & 0.52\% & 0.53\% & 0.50\% & 0.47\%\\ \hline 
59 & 0.26\% & 0.26\% & 0.24\% & 0.26\% & 0.27\% & 0.25\% & 0.28\% & 0.28\% & 0.26\% & 0.27\% & 0.27\%\\ \hline 
60 & 0.77\% & 0.79\% & 0.85\% & 0.77\% & 0.76\% & 0.78\% & 0.85\% & 0.78\% & 0.75\% & 0.74\% & 0.77\%\\ \hline 
61 & 0.77\% & 0.81\% & 0.84\% & 0.90\% & 0.83\% & 0.80\% & 0.76\% & 0.76\% & 0.83\% & 0.83\% & 0.80\%\\ \hline 
62 & 0.51\% & 0.47\% & 0.44\% & 0.40\% & 0.44\% & 0.39\% & 0.36\% & 0.32\% & 0.29\% & 0.28\% & 0.27\%\\ \hline 
63 & 1.79\% & 1.97\% & 2.17\% & 2.30\% & 2.41\% & 2.44\% & 2.51\% & 2.43\% & 2.60\% & 2.37\% & 2.16\%\\ \hline 
64 & 1.15\% & 1.10\% & 1.02\% & 1.06\% & 1.11\% & 1.08\% & 1.01\% & 1.07\% & 0.99\% & 0.90\% & 0.96\%\\ \hline 
65 & 0.77\% & 0.83\% & 0.83\% & 0.84\% & 0.85\% & 0.87\% & 0.83\% & 0.79\% & 0.86\% & 0.87\% & 0.81\%\\ \hline 
66 & 0.51\% & 0.55\% & 0.61\% & 0.64\% & 0.69\% & 0.71\% & 0.73\% & 0.73\% & 0.78\% & 0.84\% & 0.92\%\\ \hline 
67 & 0.26\% & 0.25\% & 0.24\% & 0.25\% & 0.26\% & 0.24\% & 0.26\% & 0.26\% & 0.27\% & 0.26\% & 0.24\%\\ \hline 
68 & 4.86\% & 4.66\% & 4.66\% & 4.99\% & 4.64\% & 4.64\% & 4.83\% & 4.39\% & 4.48\% & 4.26\% & 4.21\%\\ \hline 
69 & 0.51\% & 0.52\% & 0.48\% & 0.45\% & 0.46\% & 0.48\% & 0.46\% & 0.47\% & 0.45\% & 0.49\% & 0.48\%\\ \hline 
70 & 0.51\% & 0.52\% & 0.47\% & 0.48\% & 0.48\% & 0.52\% & 0.51\% & 0.55\% & 0.53\% & 0.50\% & 0.52\%\\ \hline 
71 & 4.09\% & 4.13\% & 4.55\% & 4.46\% & 4.19\% & 4.36\% & 4.09\% & 4.22\% & 3.84\% & 3.65\% & 3.83\%\\ \hline 
72 & 0.51\% & 0.49\% & 0.53\% & 0.50\% & 0.49\% & 0.52\% & 0.51\% & 0.53\% & 0.49\% & 0.51\% & 0.49\%\\ \hline 
73 & 0.77\% & 0.80\% & 0.73\% & 0.78\% & 0.81\% & 0.80\% & 0.86\% & 0.90\% & 0.99\% & 0.95\% & 1.00\%\\ \hline 
74 & 0.51\% & 0.49\% & 0.51\% & 0.54\% & 0.56\% & 0.60\% & 0.55\% & 0.52\% & 0.50\% & 0.53\% & 0.47\%\\ \hline 
75 & 0.51\% & 0.54\% & 0.55\% & 0.52\% & 0.47\% & 0.48\% & 0.48\% & 0.43\% & 0.43\% & 0.46\% & 0.48\%\\ \hline 
76 & 6.39\% & 7.03\% & 6.33\% & 6.65\% & 6.51\% & 5.99\% & 5.57\% & 6.02\% & 5.54\% & 5.48\% & 5.48\%\\ \hline 
77 & 0.26\% & 0.27\% & 0.25\% & 0.26\% & 0.26\% & 0.28\% & 0.28\% & 0.30\% & 0.32\% & 0.31\% & 0.33\%\\ \hline 
78 & 1.15\% & 1.06\% & 1.12\% & 1.19\% & 1.26\% & 1.31\% & 1.27\% & 1.22\% & 1.25\% & 1.32\% & 1.33\%\\ \hline 
79 & 2.05\% & 2.21\% & 2.01\% & 2.09\% & 2.30\% & 2.39\% & 2.56\% & 2.61\% & 2.82\% & 2.99\% & 3.20\%\\ \hline 
80 & 0.51\% & 0.50\% & 0.47\% & 0.50\% & 0.47\% & 0.52\% & 0.54\% & 0.53\% & 0.57\% & 0.61\% & 0.61\%\\ \hline 
81 & 0.77\% & 0.81\% & 0.84\% & 0.90\% & 0.86\% & 0.84\% & 0.82\% & 0.82\% & 0.74\% & 0.72\% & 0.68\%\\ \hline 
82 & 1.41\% & 1.46\% & 1.51\% & 1.37\% & 1.29\% & 1.33\% & 1.35\% & 1.49\% & 1.37\% & 1.33\% & 1.26\%\\ \hline 
83 & 0.51\% & 0.51\% & 0.50\% & 0.50\% & 0.50\% & 0.51\% & 0.53\% & 0.56\% & 0.50\% & 0.49\% & 0.47\%\\ \hline 
84 & 1.79\% & 1.86\% & 1.84\% & 1.70\% & 1.68\% & 1.54\% & 1.68\% & 1.72\% & 1.60\% & 1.47\% & 1.59\%\\ \hline 
85 & 0.26\% & 0.28\% & 0.30\% & 0.27\% & 0.27\% & 0.29\% & 0.31\% & 0.28\% & 0.29\% & 0.29\% & 0.27\%\\ \hline 
86 & 0.77\% & 0.76\% & 0.74\% & 0.77\% & 0.77\% & 0.80\% & 0.84\% & 0.92\% & 0.92\% & 0.93\% & 0.94\%\\ \hline 
87 & 0.51\% & 0.51\% & 0.55\% & 0.60\% & 0.61\% & 0.63\% & 0.70\% & 0.75\% & 0.74\% & 0.69\% & 0.69\%\\ \hline 
88 & 0.26\% & 0.27\% & 0.25\% & 0.24\% & 0.24\% & 0.25\% & 0.28\% & 0.27\% & 0.25\% & 0.23\% & 0.22\%\\ \hline 
89 & 1.41\% & 1.33\% & 1.42\% & 1.32\% & 1.28\% & 1.33\% & 1.35\% & 1.47\% & 1.54\% & 1.59\% & 1.59\%\\ \hline 
90 & 0.26\% & 0.23\% & 0.24\% & 0.24\% & 0.25\% & 0.25\% & 0.23\% & 0.21\% & 0.23\% & 0.24\% & 0.24\%\\ \hline 
91 & 0.51\% & 0.51\% & 0.48\% & 0.50\% & 0.47\% & 0.51\% & 0.51\% & 0.47\% & 0.46\% & 0.48\% & 0.49\%\\ \hline 
92 & 2.05\% & 1.84\% & 1.95\% & 1.91\% & 1.95\% & 1.89\% & 1.74\% & 1.83\% & 1.79\% & 1.83\% & 1.77\%\\ \hline 
93 & 0.26\% & 0.18\% & 0.20\% & 0.21\% & 0.23\% & 0.25\% & 0.24\% & 0.23\% & 0.21\% & 0.22\% & 0.21\%\\ \hline 
94 & 0.26\% & 0.23\% & 0.22\% & 0.23\% & 0.25\% & 0.23\% & 0.24\% & 0.26\% & 0.23\% & 0.22\% & 0.23\%\\ \hline 
95 & 0.51\% & 0.49\% & 0.49\% & 0.44\% & 0.47\% & 0.46\% & 0.46\% & 0.42\% & 0.46\% & 0.46\% & 0.49\%\\ \hline 
96 & 0.26\% & 0.20\% & 0.19\% & 0.20\% & 0.18\% & 0.19\% & 0.20\% & 0.20\% & 0.20\% & 0.23\% & 0.21\%\\ \hline 
97 & 0.51\% & 0.46\% & 0.47\% & 0.46\% & 0.47\% & 0.44\% & 0.43\% & 0.47\% & 0.52\% & 0.57\% & 0.56\%\\ \hline 
98 & 0.77\% & 0.69\% & 0.72\% & 0.75\% & 0.74\% & 0.81\% & 0.75\% & 0.69\% & 0.68\% & 0.75\% & 0.66\%\\ \hline 
99 & 2.56\% & 2.30\% & 2.49\% & 2.64\% & 2.53\% & 2.78\% & 2.64\% & 2.51\% & 2.31\% & 2.54\% & 2.44\%\\ \hline 
100 & 0.51\% & 0.49\% & 0.63\% & 0.52\% & 0.51\% & 0.55\% & 0.59\% & 0.56\% & 0.55\% & 0.60\% & 0.39\%\\ \hline 
101 & 0.77\% & 0.66\% & 0.73\% & 0.70\% & 0.63\% & 0.70\% & 0.60\% & 0.60\% & 0.67\% & 0.69\% & 0.68\%\\ \hline 
102 & 0.26\% & 0.23\% & 0.25\% & 0.18\% & 0.21\% & 0.24\% & 0.22\% & 0.28\% & 0.30\% & 0.38\% & 0.28\%\\ \hline 
103 & 0.51\% & 0.51\% & 0.56\% & 0.51\% & 0.54\% & 0.60\% & 0.55\% & 0.59\% & 0.66\% & 0.73\% & 0.68\%\\ \hline 
